test,PK-1110,BONY AMIN,AYRA-SHAKIB,SHOES/SLIDE(COPY),14,13.7,780,10686
test,PK-1111,MISSION,MISSION/IKRAM,BAG?COPY),37.5,18.2,770,14014
test,PK-1112,MISSION,MISSION/IKRAM,BAG?COPY),18,37.15,770,28605.5
test,PK-1113,FS,FS/SOBUZ BY AIR,SPRINKER,25.5,25.25,740,18685
test,PK-1114,FS,FS/SOBUZ BY AIR,SPRINKER,25,25.2,740,18648
test,PK-1115,FS,FS/SOBUZ BY AIR,SPRINKER,25.5,25.3,740,18722
test,PK-1116,FS,FS/SOBUZ BY AIR,SPRINKER,25.5,25.3,740,18722
test,PK-1117,FS,FS/SOBUZ BY AIR,SPRINKER,25.5,25.2,740,18648
test,PK-1118,MR TORIKUL,BY AIR CHINA SHIP,FREEZING TEMPERATURE CONTROLLER,16.8,16.8,750,12600
test,PK-1119,MR TORIKUL,BY AIR CHINA SHIP,AIR CONDITIONING LINE PASSING MACHINE,28,27.9,750,20925
test,PK-1120,MR TORIKUL,BY AIR CHINA SHIP,AIR CONDITIONING LINE PASSING MACHINE,18.5,18.4,750,13800
test,PK-1121,MR TORIKUL,BY AIR CHINA SHIP,AIR CONDITIONING LINE PASSING MACHINE,19.2,19.1,750,14325
test,PK-1122,MR TORIKUL,BY AIR CHINA SHIP,CRYOGENIC RELAY,18.6,18.5,750,13875
test,PK-1123,MR TORIKUL,BY AIR CHINA SHIP,FREEZING CONTROL BOARD,17.4,17.3,750,12975
test,PK-1124,MR TORIKUL,BY AIR CHINA SHIP,FREEZING CONTROL BOARD,17.4,17.25,750,12937.5
test,XTRA-2,SOURCING AIDE,SOURCING AIDE,UNKNOWN,4.3,4.3,1000,4300
test,XTRA-1,AS-ASHUK,MA,UNKNOWN,3.1,3.1,725,2247.5
test,PK-1127,AS-ASHUK,MA-16,FILTER,17.5,17.4,725,12615
test,PK-1128,ALAMGIR,ALAMGIR,UNDERPANTS,54,52.1,950,49495
test,PK-1128B,ALAMGIR,ALAMGIR,UNDERPANTS,53,53.1,950,50445
test,PK-1129,ALAMGIR,ALAMGIR,UNDERPANTS,53.5,53.3,950,50635
test,PK-1129B,ALAMGIR,ALAMGIR,UNDERPANTS,51,50.7,950,48165
test,PK-1130,ALIM,JTI/RANA AHSAN,POOL LIGHT,14,14.5,740,10730
test,PK-1131,ALIM,JTI/RANA AHSAN,POOL LIGHT,1.5,14.7,740,10878
test,PK-1132,AS-ASHUK,MA-182 BY AIR,FILTER,8,8.1,725,5872.5
test,PK-1133,ALIM,JTI/TECTESLA,CYLINDER ,25,24.9,740,18426
test,PK-1134,ALIM,JTI/TECTESLA, SENSOR,1.5,1.65,740,1221
test,PK-1135,SHOHEB,PRODIP/SHOYEB,SOCKET,26,25.8,750,19350
test,PK-1136,SHOHEB,SHOYEB,TRIOED,5.5,5.4,750,4050
test,PK-1137,AS-ASHUK,MA-BY AIR MA-353,FEED VALVE-RELAY-PRESS SWITCH-DISPLAY SCREEN,10,9.8,725,7105
test,PK-1138,BAPPA,BAPPY BHAI-1,HUMIDIFIER,9,9,740,6660
test,PK-1139,BAPPA,BAPPY BHAI-2,HUMIDIFIER,9,9,740,6660
test,PK-1140,BAPPA,BAPPY BHAI-3,HUMIDIFIER,9,8.9,740,6586
test,PK-1141,BAPPA,BAPPY BHAI-4,HUMIDIFIER,9,9.05,740,6697
